index,bike_id,datetime,date,month,season,workingday,local_name,weather,isdaytime,temp_value,temp_unit,wind_speed,wind_unit,year_month
505,mr96862,9:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-09
506,mr96368,9:50:22,6月21日,6,Summer,Yes,上海金领谷科技产业园,Sunny,TRUE,22,C,3.7,km/h,06-21-09
507,mr96383,9:50:22,6月21日,6,Summer,Yes,上海电力工业学院,Sunny,TRUE,25,C,3.7,km/h,06-21-09
508,mr96396,9:50:22,6月21日,6,Summer,Yes,上海市第五人民医院,Sunny,TRUE,23,C,3.7,km/h,06-21-09
509,mr96431,9:50:22,6月21日,6,Summer,Yes,上海市第五人民医院,Sunny,TRUE,21,C,3.7,km/h,06-21-09
510,mr96701,9:50:22,6月21日,6,Summer,Yes,水生园,Sunny,TRUE,18,C,3.7,km/h,06-21-09
511,mr96727,9:50:22,6月21日,6,Summer,Yes,青少年活动中心,Sunny,TRUE,19,C,3.7,km/h,06-21-09
512,mr96753,9:50:22,6月21日,6,Summer,Yes,春申创意园,Sunny,TRUE,18,C,3.7,km/h,06-21-09
513,mr96763,9:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-09
514,mr96942,9:50:22,6月21日,6,Summer,Yes,莘松中学,Sunny,TRUE,35,C,3.7,km/h,06-21-09
515,mr96963,9:50:22,6月21日,6,Summer,Yes,青少年活动中心,Sunny,TRUE,20,C,3.7,km/h,06-21-09
516,mr97068,9:50:22,6月21日,6,Summer,Yes,青少年活动中心,Sunny,TRUE,20.5,C,3.7,km/h,06-21-09
517,mr97070,9:50:22,6月21日,6,Summer,Yes,莘松中学,Sunny,TRUE,20,C,3.7,km/h,06-21-09
516,mr97068,9:50:22,6月21日,6,Summer,Yes,青少年活动中心,Sunny,TRUE,18.7,C,3.7,km/h,06-21-09
519,mr97128,9:50:22,6月21日,6,Summer,Yes,莘庄镇政府,Sunny,TRUE,20,C,3.7,km/h,06-21-09
520,mr96448,9:50:22,,6,Summer,Yes,,Sunny,TRUE,18,C,3.7,km/h,06-21-09
521,mr96478,9:50:22,6月21日,6,Summer,Yes,莘松中学,Sunny,TRUE,20,C,3.7,km/h,06-21-09
522,mr96847,9:50:22,6月21日,6,Summer,Yes,上海电力工业学院,Sunny,TRUE,17.8,C,3.7,km/h,06-21-09
523,mr96582,9:50:22,,6,Summer,Yes,,Sunny,TRUE,20,C,3.7,km/h,06-21-09
