,index,bike_id,datetime,date,month,season,workingday,local_name,weather,isdaytime,temp_value,temp_unit,wind_speed,wind_unit,year_month
0,505,mr96862,9:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-09
1,506,mr96368,9:50:22,6月21日,6,Summer,Yes,上海金领谷科技产业园,Sunny,True,20,C,3.7,km/h,06-21-09
2,507,mr96383,9:50:22,6月21日,6,Summer,Yes,上海电力工业学院,Sunny,True,20,C,3.7,km/h,06-21-09
3,508,mr96396,9:50:22,6月21日,6,Summer,Yes,上海市第五人民医院,Sunny,True,20,C,3.7,km/h,06-21-09
4,509,mr96431,9:50:22,6月21日,6,Summer,Yes,上海市第五人民医院,Sunny,True,20,C,3.7,km/h,06-21-09
5,510,mr96701,9:50:22,6月21日,6,Summer,Yes,水生园,Sunny,True,20,C,3.7,km/h,06-21-09
6,511,mr96727,9:50:22,6月21日,6,Summer,Yes,青少年活动中心,Sunny,True,20,C,3.7,km/h,06-21-09
7,512,mr96753,9:50:22,6月21日,6,Summer,Yes,春申创意园,Sunny,True,20,C,3.7,km/h,06-21-09
8,513,mr96763,9:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-09
9,514,mr96942,9:50:22,6月21日,6,Summer,Yes,莘松中学,Sunny,True,20,C,3.7,km/h,06-21-09
10,515,mr96963,9:50:22,6月21日,6,Summer,Yes,青少年活动中心,Sunny,True,20,C,3.7,km/h,06-21-09
11,516,mr97068,9:50:22,6月21日,6,Summer,Yes,青少年活动中心,Sunny,True,20,C,3.7,km/h,06-21-09
12,517,mr97070,9:50:22,6月21日,6,Summer,Yes,莘松中学,Sunny,True,20,C,3.7,km/h,06-21-09
14,519,mr97128,9:50:22,6月21日,6,Summer,Yes,莘庄镇政府,Sunny,True,20,C,3.7,km/h,06-21-09
15,520,mr96448,9:50:22,,6,Summer,Yes,,Sunny,True,20,C,3.7,km/h,06-21-09
16,521,mr96478,9:50:22,6月21日,6,Summer,Yes,莘松中学,Sunny,True,20,C,3.7,km/h,06-21-09
